id	name	link	seller	price	original_price	lectures	hours	level	Sat Jan 23 18:56:08 2021
39	elasticsearch-7-and-elastic-stack/	https://www.udemy.com/course/elasticsearch-7-and-elastic-stack/	Sundog Education by Frank Kane  Frank Kane  Coralogix Ltd 	15.99	109.99	123	16.5	All Levels	
40	complete-tableau-bootcamp-dashboards/	https://www.udemy.com/course/complete-tableau-bootcamp-dashboards/	Jose Portilla  Rayan Slim  Sarmad Tanveer  Jad Slim	16.99	124.99	126	12.5	All Levels	
41	data-warehouse-fundamentals-for-beginners/	https://www.udemy.com/course/data-warehouse-fundamentals-for-beginners/	Alan Simon	14.99	44.99	68	5	Beginner	
42	credit-risk-modeling-in-python/	https://www.udemy.com/course/credit-risk-modeling-in-python/	365 Careers	19.99	139.99	75	7	All Levels	
43	taming-big-data-with-mapreduce-and-hadoop/	https://www.udemy.com/course/taming-big-data-with-mapreduce-and-hadoop/	Sundog Education by Frank Kane  Frank Kane	14.99	89.99	53	5	All Levels	
44	project-management-for-business-analyst/	https://www.udemy.com/course/project-management-for-business-analyst/	The BA Guide   Jeremy Aschenbrenner	12.99	94.99	52	5	All Levels	
45	recommender-systems/	https://www.udemy.com/course/recommender-systems/	Lazy Programmer Inc 	18.99	129.99	91	12	Intermediate	
46	python-sql-tableau-integrating-python-sql-and-tableau/	https://www.udemy.com/course/python-sql-tableau-integrating-python-sql-and-tableau/	365 Careers	19.99	139.99	91	5.5	Intermediate	
47	bpmn-for-business-analysts/	https://www.udemy.com/course/bpmn-for-business-analysts/	Zbigniew Misiak	14.99	89.99	69	5	All Levels	
48	power-bi-service/	https://www.udemy.com/course/power-bi-service/	Maven Analytics  Aaron Parry	16.99	124.99	68	4	All Levels	
49	elasticsearch-6-and-elastic-stack-in-depth-and-hands-on/	https://www.udemy.com/course/elasticsearch-6-and-elastic-stack-in-depth-and-hands-on/	Sundog Education by Frank Kane  Frank Kane	12.99	94.99	64	8	All Levels	
50	exam-da-100-a-complete-guide-on-acing-the-exam-with-powerbi/	https://www.udemy.com/course/exam-da-100-a-complete-guide-on-acing-the-exam-with-powerbi/	John David Ariansen  SuperDataScience Team	14.99	109.99	142	7.5	All Levels	
51	intro-to-bpm/	https://www.udemy.com/course/intro-to-bpm/	Don Hussey	14.99	89.99	16	1.5	Intermediate	
52	sascompletetutorial/	https://www.udemy.com/course/sascompletetutorial/	Ermin Dedic	15.99	109.99	155	12	All Levels	
53	msbi-ssis-ssas-ssrs/	https://www.udemy.com/course/msbi-ssis-ssas-ssrs/	Shivprasad Koirala	13.99	19.99	47	23	Beginner	
54	data-analysis-and-dashboards-with-google-data-studio/	https://www.udemy.com/course/data-analysis-and-dashboards-with-google-data-studio/	Ian Littlejohn	14.99	99.99	69	5.5	All Levels	
55	big-data-and-hadoop-for-beginners/	https://www.udemy.com/course/big-data-and-hadoop-for-beginners/	Andalib Ansari	14.99	109.99	32	3	All Levels	
56	alteryx-for-everyone/	https://www.udemy.com/course/alteryx-for-everyone/	Pavan Lalwani	13.99	19.99	62	5	Beginner	
57	tableau-for-beginners/	https://www.udemy.com/course/tableau-for-beginners/	Jed Guinto	18.99	129.99	202	22	All Levels	
58	tableau-2018/	https://www.udemy.com/course/tableau-2018/	Kirill Eremenko  SuperDataScience Team	18.99	129.99	75	8	All Levels	
59	developing-requirements/	https://www.udemy.com/course/developing-requirements/	Don Hussey	12.99	94.99	26	4.5	Intermediate	
60	qliksense-visualizations-masterclass/	https://www.udemy.com/course/qliksense-visualizations-masterclass/	Shilpan Patel	39.99	NULL	68	4.5	All Levels	
61	google-analytics-reports-and-dashboards-with-data-studio/	https://www.udemy.com/course/google-analytics-reports-and-dashboards-with-data-studio/	Ian Littlejohn	14.99	49.99	51	4	All Levels	
62	advanced-sql-mysql-for-analytics-business-intelligence/	https://www.udemy.com/course/advanced-sql-mysql-for-analytics-business-intelligence/	Maven Analytics  John Pauler   SQL   MySQL   Data Analysis	16.99	124.99	104	8	All Levels	
63	business-analysis-conduct-a-strategy-analysis/	https://www.udemy.com/course/business-analysis-conduct-a-strategy-analysis/	The BA Guide   Jeremy Aschenbrenner	14.99	109.99	124	8	All Levels	
64	tableau-10/	https://www.udemy.com/course/tableau-10/	Rob Davis	18.99	129.99	73	7.5	All Levels	
65	excel-charts-learn-everything-about-charts-with-excel-2013/	https://www.udemy.com/course/excel-charts-learn-everything-about-charts-with-excel-2013/	Andreas Exadaktylos	14.99	109.99	91	9.5	All Levels	
66	alteryx-self-service-analytics-in-your-hands/	https://www.udemy.com/course/alteryx-self-service-analytics-in-your-hands/	Renato Baruti	16.99	74.99	21	3	All Levels	
67	alteryx-masterclass-a-crashcourse-for-beginners/	https://www.udemy.com/course/alteryx-masterclass-a-crashcourse-for-beginners/	Dan We	16.99	124.99	20	2.5	Beginner	
68	tableaupavanlalwani/	https://www.udemy.com/course/tableaupavanlalwani/	Pavan Lalwani	13.99	19.99	64	4.5	Beginner	
69	industrial-applications-use-cases-of-blockchain-technology/	https://www.udemy.com/course/industrial-applications-use-cases-of-blockchain-technology/	Roohi Bansal  Aman Gupta	13.99	19.99	33	1.5	All Levels	
70	sql-for-marketers-data-analytics-data-science-big-data/	https://www.udemy.com/course/sql-for-marketers-data-analytics-data-science-big-data/	Lazy Programmer Inc 	14.99	59.99	31	1.5	All Levels	
71	data-analytics-with-excel-pivottables-2016/	https://www.udemy.com/course/data-analytics-with-excel-pivottables-2016/	Navya Kannan  Learnsector LLP	14.99	59.99	8	1	Intermediate	
72	qlikview-developer-course/	https://www.udemy.com/course/qlikview-developer-course/	Shilpan Patel	29.99	NULL	52	8	Beginner	
73	microsoft-power-bi-introduction/	https://www.udemy.com/course/microsoft-power-bi-introduction/	Grant Gamble	16.99	124.99	231	21	Beginner	
74	statistics-with-r-beginner-level/	https://www.udemy.com/course/statistics-with-r-beginner-level/	Bogdan Anastasiei	14.99	29.99	46	3	Beginner	
75	peopleanalytics101/	https://www.udemy.com/course/peopleanalytics101/	Unlock HR	19.99	139.99	59	9	All Levels	
76	5-steps-to-becoming-a-business-analyst/	https://www.udemy.com/course/5-steps-to-becoming-a-business-analyst/	The BA Guide   Jeremy Aschenbrenner	15.99	64.99	30	3	All Levels	
77	splunk-beginner-to-architect/	https://www.udemy.com/course/splunk-beginner-to-architect/	Zeal Vora	34.99	NULL	97	11	Beginner	
78	mastering-top-visualization-techniques-in-tableau/	https://www.udemy.com/course/mastering-top-visualization-techniques-in-tableau/	Ben Young  SuperDataScience Team	16.99	119.99	74	5.5	Expert	
79	advanced-process-flowcharts/	https://www.udemy.com/course/advanced-process-flowcharts/	The BA Guide   Jeremy Aschenbrenner	14.99	109.99	51	2.5	Intermediate	
80	spss-for-research/	https://www.udemy.com/course/spss-for-research/	Bogdan Anastasiei	14.99	49.99	149	14	All Levels	
81	excel-power-user/	https://www.udemy.com/course/excel-power-user/	Eric Andrews	16.99	124.99	35	3.5	All Levels	
82	business-analysis-plan-the-project/	https://www.udemy.com/course/business-analysis-plan-the-project/	The BA Guide   Jeremy Aschenbrenner	14.99	109.99	98	5.5	All Levels	
83	data-visualization-in-excel-for-business-professionals/	https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/	Start Tech Academy	12.99	19.99	45	4.5	All Levels	
84	qliksense-data-architect-masterclass/	https://www.udemy.com/course/qliksense-data-architect-masterclass/	Vertechs  IO  Shilpan Patel  Deepak Vadithala  DV 	199.99	NULL	97	6.5	Beginner	
85	time-series-analysis-in-python/	https://www.udemy.com/course/time-series-analysis-in-python/	365 Careers	15.99	109.99	97	7.5	All Levels	
86	amazon-aws-quicksight-getting-started/	https://www.udemy.com/course/amazon-aws-quicksight-getting-started/	Manuel Lorenz  Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller	16.99	109.99	74	5.5	All Levels	
87	python-bokeh/	https://www.udemy.com/course/python-bokeh/	Ardit Sulce	16.99	94.99	77	7	All Levels	
88	business-analysis-for-everyone/	https://www.udemy.com/course/business-analysis-for-everyone/	Akhilendra Singh MBA  CSPO  PSM1	17.99	129.99	75	16.5	All Levels	
89	bpmnwithbrian/	https://www.udemy.com/course/bpmnwithbrian/	Brian Prenderville	13.99	84.99	50	3.5	All Levels	
90	digital-oil-and-gas/	https://www.udemy.com/course/digital-oil-and-gas/	Geoffrey Cann	44.99	NULL	86	7	Intermediate	
91	tableau-2018-advanced/	https://www.udemy.com/course/tableau-2018-advanced/	Kirill Eremenko  SuperDataScience Team	18.99	129.99	72	9.5	Intermediate	
92	introduction-to-business-analytics/	https://www.udemy.com/course/introduction-to-business-analytics/	365 Careers	14.99	109.99	55	5	All Levels	
93	r-shiny-web-apps-data-visualization/	https://www.udemy.com/course/r-shiny-web-apps-data-visualization/	R Tutorials Training	15.99	94.99	30	3	Intermediate	
94	logistic-regression-credit-scoring-modelling-using-sas/	https://www.udemy.com/course/logistic-regression-credit-scoring-modelling-using-sas/	Gopal Prasad Malakar	14.99	69.99	109	18	All Levels	
95	sql-for-punk-analytics/	https://www.udemy.com/course/sql-for-punk-analytics/	Paul Scotchford	14.99	29.99	58	8	All Levels	
96	advanced-dax-for-power-bi/	https://www.udemy.com/course/advanced-dax-for-power-bi/	Maven Analytics  Aaron Parry	12.99	94.99	145	11.5	All Levels	
97	complete-stata-workflow-tips/	https://www.udemy.com/course/complete-stata-workflow-tips/	Mauricio Maroto	15.99	94.99	119	9.5	Beginner	
98	colordata/	https://www.udemy.com/course/colordata/	Kirill Eremenko  Patrycja Angelika Jeleniewicz  SuperDataScience Team	14.99	109.99	34	4	All Levels	
99	microsoft-power-bi-masterclass-expand-excellence/	https://www.udemy.com/course/microsoft-power-bi-masterclass-expand-excellence/	Dan We	14.99	109.99	46	8	Beginner	
100	introduction-to-data-visualization/	https://www.udemy.com/course/introduction-to-data-visualization/	UI5 Community Network  Ajay Nayak	15.99	49.99	27	1.5	All Levels	
101	sem-using-amos/	https://www.udemy.com/course/sem-using-amos/	Scholarsight Learning	14.99	109.99	112	6	All Levels	
102	intro-to-postgresql-databases-with-pgadmin/	https://www.udemy.com/course/intro-to-postgresql-databases-with-pgadmin/	John Elder	14.99	109.99	24	2	Beginner	
103	master-dax-fundamentals-power-bi-power-pivot-ssas/	https://www.udemy.com/course/master-dax-fundamentals-power-bi-power-pivot-ssas/	Paula Guilfoyle CPA   MVP	14.99	109.99	47	3	Beginner	
104	beginner-stats/	https://www.udemy.com/course/beginner-stats/	Nate   Wisdify	14.99	44.99	42	3	Beginner	
105	complete-excel-2016-data-analytics-theory-bko-accredited/	https://www.udemy.com/course/complete-excel-2016-data-analytics-theory-bko-accredited/	  Six Sigma Academy Amsterdam  	14.99	109.99	44	4.5	All Levels	
106	learn-sql-for-data-analysis-with-google-bigquery/	https://www.udemy.com/course/learn-sql-for-data-analysis-with-google-bigquery/	Annabel Lyle	14.99	79.99	55	2	Beginner	
107	build-interactive-dashboards-and-reports-with-google-data-studio/	https://www.udemy.com/course/build-interactive-dashboards-and-reports-with-google-data-studio/	Annabel Lyle	14.99	49.99	52	2.5	Intermediate	
108	tableau-crash-course-build-and-share-a-covid-19-dashboard/	https://www.udemy.com/course/tableau-crash-course-build-and-share-a-covid-19-dashboard/	Dee Naidoo	13.99	19.99	25	4.5	Beginner	
109	the-simplest-guide-to-sas-programming-for-absolute-beginners/	https://www.udemy.com/course/the-simplest-guide-to-sas-programming-for-absolute-beginners/	Aslam Khan	16.99	119.99	111	11.5	All Levels	
110	data-science-deep-learning-for-business-20-case-studies/	https://www.udemy.com/course/data-science-deep-learning-for-business-20-case-studies/	Rajeev D  Ratan	14.99	109.99	187	20.5	All Levels	
111	mastering-ms-excel-2016/	https://www.udemy.com/course/mastering-ms-excel-2016/	Analytics Leap	15.99	79.99	52	8.5	All Levels	
112	tableau-certified-associate-exam-guide/	https://www.udemy.com/course/tableau-certified-associate-exam-guide/	Kirill Eremenko  SuperDataScience Team	199.99	NULL	347	38	Beginner	
113	microsoft-excel-for-data-analysis/	https://www.udemy.com/course/microsoft-excel-for-data-analysis/	James Nissen	13.99	19.99	57	2	Beginner	
114	crystal-reports-for-sap-business-one/	https://www.udemy.com/course/crystal-reports-for-sap-business-one/	Michael Taylor	12.99	49.99	46	10.5	All Levels	
115	become-qlikview-designer-from-scratch/	https://www.udemy.com/course/become-qlikview-designer-from-scratch/	Shilpan Patel	19.99	NULL	42	6	Beginner	
116	customer-analytics-in-python/	https://www.udemy.com/course/customer-analytics-in-python/	365 Careers  365 Careers Team	17.99	129.99	76	5	Intermediate	
